university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Helwan University ,2021,1001,,https://www.topuniversities.com/universities/helwan-university,Egypt,Helwan,Africa,https://www.topuniversities.com/sites/default/files/helwan-university-_592560cf2aeae70239af4f3b_small.jpg,Public,High,19.0,"2,297",XL,"6,629",http://www.wikidata.org/entity/Q1364550,http://www.wikidata.org/entity/Q79,2021:1001,CityHelwanEgypt,CountryEgypt,RegionAfrica,High
IMT Atlantique,2021,,,https://www.topuniversities.com/universities/imt-atlantique,France,Nantes,Europe,https://www.topuniversities.com/sites/default/files/imt-atlantique_5a53028cca24f32bec6e7157_small.jpg,,Very High,6.0,722,S,271,http://www.wikidata.org/entity/Q27962533,http://www.wikidata.org/entity/Q142,,CityNantesFrance,CountryFrance,RegionEurope,VeryHigh
INSEAD,2021,,,https://www.topuniversities.com/universities/insead,France,Fontainebleau,Europe,https://www.topuniversities.com/sites/default/files/insead_592560cf2aeae70239af4ba8_small.jpg,Private,Very High,,,S,,http://www.wikidata.org/entity/Q1136829,http://www.wikidata.org/entity/Q142,,CityFontainebleauFrance,CountryFrance,RegionEurope,VeryHigh
Izmir Institute of Technology (IZTECH),2021,1001,,https://www.topuniversities.com/universities/izmir-institute-technology-iztech,Turkey,Izmir,Asia,https://www.topuniversities.com/sites/default/files/izmir-institute-of-technology-iztech_592560cf2aeae70239af50c4_small.jpg,Public,High,19.0,159,M,288,http://www.wikidata.org/entity/Q344405,http://www.wikidata.org/entity/Q43,2021:1001,CityIzmirTurkey,CountryTurkey,RegionAsia,High
Jamia Hamdard,2021,1001,,https://www.topuniversities.com/universities/jamia-hamdard,India,New Delhi,Asia,https://www.topuniversities.com/sites/default/files/jamia-hamdard_592560e19988f300e2320f1b_small.jpg,Public,High,16.0,338,M,522,http://www.wikidata.org/entity/Q6146410,http://www.wikidata.org/entity/Q668,2021:1001,CityNewDelhiIndia,CountryIndia,RegionAsia,High
Jawaharlal Nehru University,2021,,,https://www.topuniversities.com/universities/jawaharlal-nehru-university,India,New Delhi,Asia,https://www.topuniversities.com/sites/default/files/jawaharlal-nehru-university_302_small.jpg,Public,Very High,15.0,240,M,565,http://www.wikidata.org/entity/Q1147063,http://www.wikidata.org/entity/Q668,,CityNewDelhiIndia,CountryIndia,RegionAsia,VeryHigh
Karolinska Institutet,2021,,,https://www.topuniversities.com/universities/karolinska-institutet,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/karolinska-institutet_311_small.jpg,Public,Very High,,,M,"1,730",http://www.wikidata.org/entity/Q219564,http://www.wikidata.org/entity/Q34,,CityStockholmSweden,CountrySweden,RegionEurope,VeryHigh
King Abdullah University of Science & Technology (KAUST),2021,,,https://www.topuniversities.com/universities/king-abdullah-university-science-technology-kaust,Saudi Arabia,Thuwal,Asia,https://www.topuniversities.com/sites/default/files/king-abdullah-university-of-science-technology_2137_small.jpg,Private,Very High,7.0,676,S,145,http://www.wikidata.org/entity/Q1463036,http://www.wikidata.org/entity/Q851,,CityThuwalSaudiArabia,CountrySaudiArabia,RegionAsia,VeryHigh
King Mongkut's Institute of Technology Ladkrabang,2021,1001,,https://www.topuniversities.com/universities/king-mongkuts-institute-technology-ladkrabang,Thailand,Bangkok,Asia,https://www.topuniversities.com/sites/default/files/king-mongkuts-institute-of-technology-ladkrabang_592560cf2aeae70239af5213_small.jpg,Public,Very High,21.0,307,L,,http://www.wikidata.org/entity/Q849209,http://www.wikidata.org/entity/Q869,2021:1001,CityBangkokThailand,CountryThailand,RegionAsia,VeryHigh
Leeds Beckett University,2021,1001,,https://www.topuniversities.com/universities/leeds-beckett-university,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/leeds-beckett-university_592560cf2aeae70239af50f2_small.jpg,Public,High,19.0,"1,247",L,"1,015",http://www.wikidata.org/entity/Q2392351,http://www.wikidata.org/entity/Q145,2021:1001,CityLeedsUnitedKingdom,CountryUnitedKingdom,RegionEurope,High
London Business School,2021,,,https://www.topuniversities.com/universities/london-business-school,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-business-school_592560cf2aeae70239af4be5_small.jpg,Public,Very High,17.0,"1,613",S,106,http://www.wikidata.org/entity/Q1481050,http://www.wikidata.org/entity/Q145,,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Makerere University,2021,1001,,https://www.topuniversities.com/universities/makerere-university,Uganda,Kampala,Africa,https://www.topuniversities.com/sites/default/files/makerere-university_15042_small.jpg,Public,High,24.0,"2,694",XL,"1,468",http://www.wikidata.org/entity/Q261506,http://www.wikidata.org/entity/Q1036,2021:1001,CityKampalaUganda,CountryUganda,RegionAfrica,High
Mansoura University,2021,1001,,https://www.topuniversities.com/universities/mansoura-university,Egypt,Mansoura ,Africa,https://www.topuniversities.com/sites/default/files/mansoura-university_592560cf2aeae70239af4f3c_small.jpg,Public,High,24.0,"5,042",XL,"7,556",http://www.wikidata.org/entity/Q4116236,http://www.wikidata.org/entity/Q79,2021:1001,CityMansouraEgypt,CountryEgypt,RegionAfrica,High
Marquette University,2021,1001,,https://www.topuniversities.com/universities/marquette-university,United States,Milwaukee,North America,https://www.topuniversities.com/sites/default/files/marquette-university_592560cf2aeae70239af4dac_small.jpg,Private,Very High,12.0,367,M,913,http://www.wikidata.org/entity/Q188370,http://www.wikidata.org/entity/Q30,2021:1001,CityMilwaukeeUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Meiji University,2021,1001,,https://www.topuniversities.com/universities/meiji-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/meiji-university_592560cf2aeae70239af5223_small.jpg,Private,High,19.0,"1,592",XL,"1,693",http://www.wikidata.org/entity/Q46492,http://www.wikidata.org/entity/Q17,2021:1001,CityTokyoJapan,CountryJapan,RegionAsia,High
Miami University,2021,1001,,https://www.topuniversities.com/universities/miami-university,United States,Oxford,North America,https://www.topuniversities.com/sites/default/files/miami-university_592560cf2aeae70239af4db1_small.jpg,Public,High,17.0,"2,260",L,"1,062",http://www.wikidata.org/entity/Q590643,http://www.wikidata.org/entity/Q30,2021:1001,CityOxfordUnitedStates,CountryUnitedStates,RegionNorthAmerica,High
Mustansiriyah University,2021,1001,,https://www.topuniversities.com/universities/mustansiriyah-university,Iraq,Baghdad,Asia,https://www.topuniversities.com/sites/default/files/-mustansiriyah-university_592560cf2aeae70239af5833_small.jpg,Public,Medium,8.0,"1,505",XL,"4,704",http://www.wikidata.org/entity/Q310842,http://www.wikidata.org/entity/Q796,2021:1001,CityBaghdadIraq,CountryIraq,RegionAsia,Medium
